Data,Atsikeliau,Uzmigau
23/11/2015,12,4
24/11/2015,14,6
25/11/2015,12,5
26/11/2015,14,5
27/11/2015,13,5
28/11/2015,11,5
29/11/2015,12,4
30/11/2015,11.5,4
01/12/2015,10.5,4
02/12/2015,#N/A,#N/A
03/12/2015,10,3.5
04/12/2015,#N/A,#N/A
05/12/2015,12,5
06/12/2015,12,6
07/12/2015,11,6
08/12/2015,#N/A,#N/A
09/12/2015,#N/A,#N/A
10/12/2015,#N/A,#N/A
11/12/2015,#N/A,#N/A
12/12/2015,#N/A,#N/A
13/12/2015,#N/A,#N/A
14/12/2015,12,6.5
15/12/2015,9.5,2.5
16/12/2015,10,1
17/12/2015,11.5,4.5
18/12/2015,10,4.5
19/12/2015,10.4,4.6
20/12/2015,10.4,2.4
21/12/2015,11.5,2.5
22/12/2015,12,3
23/12/2015,9,3
24/12/2015,9,2.5
25/12/2015,11.5,1.5
26/12/2015,12,5
27/12/2015,10,3.5
28/12/2015,10,2
29/12/2015,6.5,-0.5
30/12/2015,10,1
31/12/2015,11,2
01/01/2016,12,5
02/01/2016,10,1
03/01/2016,10,2
04/01/2016,9.3,1.5
05/01/2016,6.8,-0.5
06/01/2016,7.8,-0.5
07/01/2016,9,1
08/01/2016,8,0.5
09/01/2016,9,0.5
10/01/2016,9,0.2
11/01/2016,5.3,-1
12/01/2016,6.8,0
13/01/2016,8.5,-1
14/01/2016,7,-0.5
15/01/2016,9.3,1.2
16/01/2016,9,1
17/01/2016,9,0
18/01/2016,7,1
19/01/2016,9,-1
20/01/2016,10,2
21/01/2016,8,0
22/01/2016,8,0
23/01/2016,9.5,0.5
24/01/2016,9,0.5
25/01/2016,10,2.5
26/01/2016,9.5,1.5
27/01/2016,9.5,1
